trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.98998420924557,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,0,-61.88620553857838,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,0,-10.182081140015086,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.22313016014842982}",25,0,-40.099308309910946,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,0,-21.967387905134277,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,7,-17.447578289995942,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.049787068367863944}",20,0,-73.61278091310321,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.0301973834223185}",25,0,-153.69832814673123,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.01831563888873418}",20,0,-64.91089824393093,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.011108996538242306}",20,8,12.023621090438096,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.006737946999085467}",25,0,-0.710252363823697,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.004086771438464067}",30,7,-125.9124061640717,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 3}",1
13,False,"{'a': 0.5, 'e': 0.0024787521766663585}",20,2,27.57302790795132,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.0015034391929775724}",20,0,-69.26484207435007,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.0009118819655545162}",25,13,-15.059474588482868,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.0005530843701478336}",25,0,-21.660533172518385,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.00033546262790251185}",30,15,-52.358966036288585,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.00020346836901064417}",25,17,11.938045206312854,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.00012340980408667956}",20,0,-72.38408223464215,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",25,0,-10.830916006015912,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-108.31294313921885,"{0: 15, 1: 1, 2: 0, 3: 2, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,3,-46.91309018371911,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,14,12.520374617565825,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,6,-40.71752564202401,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,0,-111.34202281638247,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",30,1,-61.706617795076184,"{0: 24, 1: 1, 2: 1, 3: 2, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",30,1,-33.57255866801636,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",30,17,-14.529863878569559,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-60.695054346307586,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,20,10.566603796215624,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
