trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.995, 'e': 1.0}",20,0,-132.71181648980505,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.995, 'e': 0.995}",20,0,-71.04932513372337,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
3,False,"{'a': 0.995, 'e': 0.990025}",20,0,-297.5367349811397,"{0: 5, 1: 4, 2: 4, 3: 2, 4: 5}",0
4,False,"{'a': 0.995, 'e': 0.985074875}",20,0,-132.5567167748176,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.995, 'e': 0.980149500625}",20,0,-91.94044726332586,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.995, 'e': 0.975248753121875}",20,1,-14.273309057337634,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.995, 'e': 0.9703725093562656}",30,0,-110.65993567491243,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.995, 'e': 0.9655206468094842}",25,0,-136.38945578397679,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.995, 'e': 0.9606930435754368}",25,9,-92.99622630842167,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 1}",1
10,False,"{'a': 0.995, 'e': 0.9558895783575596}",20,0,-74.63644901317757,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.995, 'e': 0.9511101304657719}",25,0,-210.3516135307731,"{0: 11, 1: 5, 2: 4, 3: 2, 4: 3}",0
12,False,"{'a': 0.995, 'e': 0.946354579813443}",20,0,-146.46169438893853,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.995, 'e': 0.9416228069143757}",25,0,-174.80800344499426,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
14,False,"{'a': 0.995, 'e': 0.9369146928798039}",20,0,-58.40298916668242,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.995, 'e': 0.9322301194154049}",30,0,-127.21635242140394,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.995, 'e': 0.9275689688183278}",25,0,-233.96375509869083,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 5}",0
17,False,"{'a': 0.995, 'e': 0.9229311239742362}",25,0,-216.74528937313963,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
18,False,"{'a': 0.995, 'e': 0.918316468354365}",30,14,-74.85514501062568,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
19,False,"{'a': 0.995, 'e': 0.9137248860125932}",20,0,-121.6628904571405,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.995, 'e': 0.9091562615825302}",20,0,-70.025416515497,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
21,False,"{'a': 0.995, 'e': 0.9046104802746175}",30,0,-118.53026919809963,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
22,False,"{'a': 0.995, 'e': 0.9000874278732445}",30,0,-53.75672970945922,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
23,False,"{'a': 0.995, 'e': 0.8955869907338783}",25,0,-183.4354089774272,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
24,False,"{'a': 0.995, 'e': 0.8911090557802088}",25,0,-150.35522765132265,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
25,False,"{'a': 0.995, 'e': 0.8866535105013078}",25,0,-136.06498719443343,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
