trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.94185037087149,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.9832102718457,"{0: 18, 1: 6, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.8102646397836,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-204.81945597757925,"{0: 19, 1: 2, 2: 3, 3: 3, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.93574841396833,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.71688665800932,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-96.4664692755822,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-224.26160298447073,"{0: 10, 1: 2, 2: 9, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.27523585551836,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-233.70982704368183,"{0: 10, 1: 3, 2: 7, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,1,-48.3425903755912,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,10,-22.89732246143998,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.76558241988128,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.801327093327,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.2216836793655,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.05698335919244,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.34093760140058,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.58230038993769,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.25133468320928,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.3248882542749,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-138.0893144336557,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-168.84411684745032,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.39591124205465,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-108.08236028485821,"{0: 13, 1: 8, 2: 2, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.71553254109594,"{0: 16, 1: 3, 2: 2, 3: 3, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.01128352847076,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.3073276320416,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,5,-144.96092704072777,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-185.49569749547615,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.06729792661068,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
